"Medicare Beneficiary Population State/County Table: All Beneficiaries, 2018 ",,,,,,,
State,County,State/County FIPS Code,Beneficiaries with Part A and Part B,Beneficiaries in Medicare Advantage,Medicare Advantage Participation Rate (%),All ,Average Age
National ,  ,  ,"56,035,753","22,532,519",40.2,"33,503,234",72
Alabama ,  ,1,"985,233","427,030",43.3,"558,203",70
Alabama ,Autauga ,1001,"10,240","5,206",50.8,"5,034",71
Alabama ,Baldwin ,1003,"49,403","23,296",47.2,"26,107",72
Alabama ,Barbour ,1005,"6,118","2,712",44.3,"3,406",69
Alabama ,Bibb ,1007,"4,708","2,636",56,"2,072",68
Alabama ,Blount ,1009,"12,144","6,869",56.6,"5,275",70
Alabama ,Bullock ,1011,"1,933",975,50.4,958,69
Alabama ,Butler ,1013,"4,716","1,208",25.6,"3,508",69
Alabama ,Calhoun ,1015,"25,944","8,010",30.9,"17,934",70
Alabama ,Chambers ,1017,"8,544","2,663",31.2,"5,881",69
Alabama ,Cherokee ,1019,"6,905","2,548",36.9,"4,357",69
Alabama ,Chilton ,1021,"9,048","5,516",61,"3,532",70
Alabama ,Choctaw ,1023,"3,803",824,21.7,"2,979",69
Alabama ,Clarke ,1025,"6,216","2,939",47.3,"3,277",70
Alabama ,Clay ,1027,"3,549","1,344",37.9,"2,205",70
Alabama ,Cleburne ,1029,"3,392",850,25.1,"2,542",70
Alabama ,Coffee , ,"10,328","2,933",28.4,"7,395",71
Alabama ,Colbert ,1033,"13,581","3,891",28.7,"9,690",70
Alabama ,Conecuh ,1035,"3,424",906,26.5,"2,518",68
Alabama ,Coosa ,1037,"2,536","1,001",39.5,"1,535",69
Alabama ,Covington ,1039,"9,540","2,145",22.5,"7,395",70
Alabama ,Crenshaw ,1041,"3,447","1,402",40.7,"2,045",70
Alabama ,Cullman ,1043,"18,984","7,701",40.6,"11,283",71
Alabama ,Dale ,1045,"10,074","2,884",28.6,"7,190",70
Alabama ,Dallas ,1047,"9,361","4,102",43.8,"5,259",68
Alabama ,DeKalb ,1049,"15,045","4,978",33.1,"10,067",70
Alabama ,Elmore ,1051,"16,049","7,610",47.4,"8,439",70
Alabama ,Escambia ,1053,"8,471","3,378",39.9,"5,093",70
Alabama ,Etowah ,1055,"24,942","10,916",43.8,"14,026",69
Alabama ,Fayette ,1057,"4,700","1,358",28.9,"3,342",69
Alabama ,Franklin ,1059,"6,609","1,528",23.1,"5,081",70
Alabama ,Geneva ,1061,"6,635","2,016",30.4,"4,619",70
Alabama ,Greene ,1063,"2,196",533,24.3,"1,663",67
Alabama ,Hale ,1065,"3,863","1,034",26.8,"2,829",66
Alabama ,Henry ,1067,"4,583","1,936",42.2,"2,647",70
Alabama ,Houston ,1069,"22,548","8,382",37.2,"14,166",71
Alabama ,Jackson ,1071,"12,650","3,907",30.9,"8,743",70
Alabama ,Jefferson ,1073,"122,737","72,427",59,"50,310",70
Alabama ,Lamar ,1075,"3,733",674,18.1,"3,059",70
Alabama ,Lauderdale ,1077,"21,246","6,436",30.3,"14,810",71
Alabama ,Lawrence ,1079,"7,685","2,599",33.8,"5,086",70
Alabama ,Lee ,1081,"21,971","8,347",38,"13,624",69
Alabama ,Limestone ,1083,"16,806","5,844",34.8,"10,962",71
Alabama ,Lowndes ,1085,"2,687","1,632",60.7,"1,055",68
Alabama ,Macon ,1087,"4,145","2,065",49.8,"2,080",69
Alabama ,Madison ,1089,"59,934","19,132",31.9,"40,802",72
Alabama ,Marengo ,1091,"5,189","1,213",23.4,"3,976",68
Alabama ,Marion ,1093,"6,976","1,639",23.5,"5,337",70
Alabama ,Marshall ,1095,"19,664","5,910",30.1,"13,754",71
Alabama ,Mobile ,1097,"79,185","47,548",60.1,"31,637",70
Alabama ,Monroe ,1099,"5,131","1,538",30,"3,593",68
Alabama ,Montgomery ,1101,"39,890","20,876",52.3,"19,014",70
Alabama ,Morgan ,1103,"25,049","7,835",31.3,"17,214",71
Alabama ,Perry ,1105,"2,354",518,22,"1,836",67
Alabama ,Pickens ,1107,"4,764","1,100",23.1,"3,664",68
Alabama ,Pike ,1109,"6,017","2,585",43,"3,432",69
Alabama ,Randolph ,1111,"5,554","1,578",28.4,"3,976",70
Alabama ,Russell ,1113,"10,966","4,257",38.8,"6,709",69
Alabama ,Shelby ,1117,"34,031","17,902",52.6,"16,129",72
Alabama ,St. Clair ,1115,"17,118","9,705",56.7,"7,413",70
Alabama ,Sumter ,1119,"2,972",642,21.6,"2,330",67
Alabama ,Talladega ,1121,"18,366","8,782",47.8,"9,584",69
Alabama ,Tallapoosa ,1123,"10,950","4,237",38.7,"6,713",70
Alabama ,Tuscaloosa ,1125,"33,695","14,801",43.9,"18,894",68
Alabama ,Unknown ,1999,* ,* ,* ,* ,* 
Alabama ,Walker ,1127,"17,205","9,144",53.2,"8,061",70
Alabama ,Washington ,1129,"3,996","1,254",31.4,"2,742",69
Alabama ,Wilcox ,1131,"3,099",751,24.2,"2,348",66
Alabama ,Winston ,1133,"5,889","1,922",32.6,"3,967",70
