"Bene_Geo_Lvl","Bene_Geo_Desc","Bene_Geo_Cd","Bene_Age_Lvl","Bene_Demo_Lvl","Bene_Demo_Desc","Bene_Cond","Prvlnc","Year"
"National","National",NA,"65+","Race","Asian Pacific Islander","Autism Spectrum Disorders",0,2007
"National","National",NA,"<65","Race","Asian Pacific Islander","Autism Spectrum Disorders",0.0044,2007
"National","National",NA,"All","Race","Asian Pacific Islander","Autism Spectrum Disorders",6e-04,2007
"National","National",NA,"65+","Race","Hispanic","Autism Spectrum Disorders",0,2007
"National","National",NA,"<65","Race","Hispanic","Autism Spectrum Disorders",0.0024,2007
"National","National",NA,"All","Race","Hispanic","Autism Spectrum Disorders",6e-04,2007
"National","National",NA,"65+","Race","Native American","Autism Spectrum Disorders",NA,2007
"National","National",NA,"<65","Race","Native American","Autism Spectrum Disorders",NA,2007
"National","National",NA,"All","Race","Native American","Autism Spectrum Disorders",8e-04,2007
"National","National",NA,"65+","Race","non-Hispanic Black","Autism Spectrum Disorders",1e-04,2007
"National","National",NA,"<65","Race","non-Hispanic Black","Autism Spectrum Disorders",0.0026,2007
"National","National",NA,"All","Race","non-Hispanic Black","Autism Spectrum Disorders",0.001,2007
"National","National",NA,"65+","Race","non-Hispanic White","Autism Spectrum Disorders",1e-04,2007
"National","National",NA,"<65","Race","non-Hispanic White","Autism Spectrum Disorders",0.0048,2007
"National","National",NA,"All","Race","non-Hispanic White","Autism Spectrum Disorders",7e-04,2007
"National","National",NA,"65+","Race","Asian Pacific Islander","Autism Spectrum Disorders",0,2008
"National","National",NA,"<65","Race","Asian Pacific Islander","Autism Spectrum Disorders",0.005,2008
"National","National",NA,"All","Race","Asian Pacific Islander","Autism Spectrum Disorders",6e-04,2008
"National","National",NA,"65+","Race","Hispanic","Autism Spectrum Disorders",1e-04,2008
"National","National",NA,"<65","Race","Hispanic","Autism Spectrum Disorders",0.0027,2008
"National","National",NA,"All","Race","Hispanic","Autism Spectrum Disorders",7e-04,2008
"National","National",NA,"65+","Race","Native American","Autism Spectrum Disorders",NA,2008
"National","National",NA,"<65","Race","Native American","Autism Spectrum Disorders",NA,2008
"National","National",NA,"All","Race","Native American","Autism Spectrum Disorders",9e-04,2008
"National","National",NA,"65+","Race","non-Hispanic Black","Autism Spectrum Disorders",1e-04,2008
"National","National",NA,"<65","Race","non-Hispanic Black","Autism Spectrum Disorders",0.003,2008
"National","National",NA,"All","Race","non-Hispanic Black","Autism Spectrum Disorders",0.0011,2008
"National","National",NA,"65+","Race","non-Hispanic White","Autism Spectrum Disorders",1e-04,2008
"National","National",NA,"<65","Race","non-Hispanic White","Autism Spectrum Disorders",0.0053,2008
"National","National",NA,"All","Race","non-Hispanic White","Autism Spectrum Disorders",8e-04,2008
"National","National",NA,"65+","Race","Asian Pacific Islander","Autism Spectrum Disorders",0,2009
"National","National",NA,"<65","Race","Asian Pacific Islander","Autism Spectrum Disorders",0.0055,2009
"National","National",NA,"All","Race","Asian Pacific Islander","Autism Spectrum Disorders",7e-04,2009
"National","National",NA,"65+","Race","Hispanic","Autism Spectrum Disorders",1e-04,2009
"National","National",NA,"<65","Race","Hispanic","Autism Spectrum Disorders",0.0031,2009
"National","National",NA,"All","Race","Hispanic","Autism Spectrum Disorders",8e-04,2009
"National","National",NA,"65+","Race","Native American","Autism Spectrum Disorders",NA,2009
"National","National",NA,"<65","Race","Native American","Autism Spectrum Disorders",NA,2009
"National","National",NA,"All","Race","Native American","Autism Spectrum Disorders",0.0011,2009
"National","National",NA,"65+","Race","non-Hispanic Black","Autism Spectrum Disorders",1e-04,2009
"National","National",NA,"<65","Race","non-Hispanic Black","Autism Spectrum Disorders",0.0033,2009
"National","National",NA,"All","Race","non-Hispanic Black","Autism Spectrum Disorders",0.0012,2009
"National","National",NA,"65+","Race","non-Hispanic White","Autism Spectrum Disorders",1e-04,2009
"National","National",NA,"<65","Race","non-Hispanic White","Autism Spectrum Disorders",0.0059,2009
"National","National",NA,"All","Race","non-Hispanic White","Autism Spectrum Disorders",9e-04,2009
"National","National",NA,"65+","Race","Asian Pacific Islander","Autism Spectrum Disorders",0,2010
"National","National",NA,"<65","Race","Asian Pacific Islander","Autism Spectrum Disorders",0.0064,2010
"National","National",NA,"All","Race","Asian Pacific Islander","Autism Spectrum Disorders",8e-04,2010
"National","National",NA,"65+","Race","Hispanic","Autism Spectrum Disorders",1e-04,2010
"National","National",NA,"<65","Race","Hispanic","Autism Spectrum Disorders",0.0034,2010
"National","National",NA,"All","Race","Hispanic","Autism Spectrum Disorders",0.001,2010
"National","National",NA,"65+","Race","Native American","Autism Spectrum Disorders",NA,2010
"National","National",NA,"<65","Race","Native American","Autism Spectrum Disorders",NA,2010
"National","National",NA,"All","Race","Native American","Autism Spectrum Disorders",0.0012,2010
"National","National",NA,"65+","Race","non-Hispanic Black","Autism Spectrum Disorders",1e-04,2010
"National","National",NA,"<65","Race","non-Hispanic Black","Autism Spectrum Disorders",0.0037,2010
"National","National",NA,"All","Race","non-Hispanic Black","Autism Spectrum Disorders",0.0014,2010
"National","National",NA,"65+","Race","non-Hispanic White","Autism Spectrum Disorders",1e-04,2010
"National","National",NA,"<65","Race","non-Hispanic White","Autism Spectrum Disorders",0.0064,2010
"National","National",NA,"All","Race","non-Hispanic White","Autism Spectrum Disorders",0.001,2010
"National","National",NA,"65+","Race","Asian Pacific Islander","Autism Spectrum Disorders",0,2011
"National","National",NA,"<65","Race","Asian Pacific Islander","Autism Spectrum Disorders",0.007,2011
"National","National",NA,"All","Race","Asian Pacific Islander","Autism Spectrum Disorders",9e-04,2011
"National","National",NA,"65+","Race","Hispanic","Autism Spectrum Disorders",1e-04,2011
"National","National",NA,"<65","Race","Hispanic","Autism Spectrum Disorders",0.0038,2011
"National","National",NA,"All","Race","Hispanic","Autism Spectrum Disorders",0.0011,2011
"National","National",NA,"65+","Race","Native American","Autism Spectrum Disorders",NA,2011
"National","National",NA,"<65","Race","Native American","Autism Spectrum Disorders",NA,2011
"National","National",NA,"All","Race","Native American","Autism Spectrum Disorders",0.0013,2011
"National","National",NA,"65+","Race","non-Hispanic Black","Autism Spectrum Disorders",1e-04,2011
"National","National",NA,"<65","Race","non-Hispanic Black","Autism Spectrum Disorders",0.0041,2011
"National","National",NA,"All","Race","non-Hispanic Black","Autism Spectrum Disorders",0.0016,2011
"National","National",NA,"65+","Race","non-Hispanic White","Autism Spectrum Disorders",1e-04,2011
"National","National",NA,"<65","Race","non-Hispanic White","Autism Spectrum Disorders",0.007,2011
"National","National",NA,"All","Race","non-Hispanic White","Autism Spectrum Disorders",0.0012,2011
"National","National",NA,"65+","Race","Asian Pacific Islander","Autism Spectrum Disorders",0,2012
"National","National",NA,"<65","Race","Asian Pacific Islander","Autism Spectrum Disorders",0.008,2012
"National","National",NA,"All","Race","Asian Pacific Islander","Autism Spectrum Disorders",0.001,2012
"National","National",NA,"65+","Race","Hispanic","Autism Spectrum Disorders",1e-04,2012
"National","National",NA,"<65","Race","Hispanic","Autism Spectrum Disorders",0.0043,2012
