"Bene_Geo_Lvl","Bene_Geo_Desc","Bene_Geo_Cd","Bene_Age_Lvl","Bene_Demo_Lvl","Bene_Demo_Desc","Bene_Cond","Prvlnc","Year"
"National","National",NA,"65+","Sex","Female","Autism Spectrum Disorders",0,2007
"National","National",NA,"<65","Sex","Female","Autism Spectrum Disorders",0.0022,2007
"National","National",NA,"All","Sex","Female","Autism Spectrum Disorders",4e-04,2007
"National","National",NA,"65+","Sex","Male","Autism Spectrum Disorders",1e-04,2007
"National","National",NA,"<65","Sex","Male","Autism Spectrum Disorders",0.0058,2007
"National","National",NA,"All","Sex","Male","Autism Spectrum Disorders",0.0012,2007
"National","National",NA,"65+","Sex","Female","Autism Spectrum Disorders",1e-04,2008
"National","National",NA,"<65","Sex","Female","Autism Spectrum Disorders",0.0025,2008
"National","National",NA,"All","Sex","Female","Autism Spectrum Disorders",4e-04,2008
"National","National",NA,"65+","Sex","Male","Autism Spectrum Disorders",1e-04,2008
"National","National",NA,"<65","Sex","Male","Autism Spectrum Disorders",0.0064,2008
"National","National",NA,"All","Sex","Male","Autism Spectrum Disorders",0.0014,2008
"National","National",NA,"65+","Sex","Female","Autism Spectrum Disorders",1e-04,2009
"National","National",NA,"<65","Sex","Female","Autism Spectrum Disorders",0.0027,2009
"National","National",NA,"All","Sex","Female","Autism Spectrum Disorders",5e-04,2009
"National","National",NA,"65+","Sex","Male","Autism Spectrum Disorders",1e-04,2009
"National","National",NA,"<65","Sex","Male","Autism Spectrum Disorders",0.0072,2009
"National","National",NA,"All","Sex","Male","Autism Spectrum Disorders",0.0016,2009
"National","National",NA,"65+","Sex","Female","Autism Spectrum Disorders",1e-04,2010
"National","National",NA,"<65","Sex","Female","Autism Spectrum Disorders",0.003,2010
"National","National",NA,"All","Sex","Female","Autism Spectrum Disorders",5e-04,2010
"National","National",NA,"65+","Sex","Male","Autism Spectrum Disorders",1e-04,2010
"National","National",NA,"<65","Sex","Male","Autism Spectrum Disorders",0.0079,2010
"National","National",NA,"All","Sex","Male","Autism Spectrum Disorders",0.0018,2010
"National","National",NA,"65+","Sex","Female","Autism Spectrum Disorders",1e-04,2011
"National","National",NA,"<65","Sex","Female","Autism Spectrum Disorders",0.0033,2011
"National","National",NA,"All","Sex","Female","Autism Spectrum Disorders",6e-04,2011
"National","National",NA,"65+","Sex","Male","Autism Spectrum Disorders",1e-04,2011
"National","National",NA,"<65","Sex","Male","Autism Spectrum Disorders",0.0087,2011
"National","National",NA,"All","Sex","Male","Autism Spectrum Disorders",0.002,2011
"National","National",NA,"65+","Sex","Female","Autism Spectrum Disorders",1e-04,2012
"National","National",NA,"<65","Sex","Female","Autism Spectrum Disorders",0.0037,2012
"National","National",NA,"All","Sex","Female","Autism Spectrum Disorders",6e-04,2012
"National","National",NA,"65+","Sex","Male","Autism Spectrum Disorders",2e-04,2012
"National","National",NA,"<65","Sex","Male","Autism Spectrum Disorders",0.0098,2012
"National","National",NA,"All","Sex","Male","Autism Spectrum Disorders",0.0022,2012
"National","National",NA,"65+","Sex","Female","Autism Spectrum Disorders",1e-04,2013
"National","National",NA,"<65","Sex","Female","Autism Spectrum Disorders",0.0042,2013
"National","National",NA,"All","Sex","Female","Autism Spectrum Disorders",7e-04,2013
"National","National",NA,"65+","Sex","Male","Autism Spectrum Disorders",2e-04,2013
"National","National",NA,"<65","Sex","Male","Autism Spectrum Disorders",0.0111,2013
"National","National",NA,"All","Sex","Male","Autism Spectrum Disorders",0.0025,2013
"National","National",NA,"65+","Sex","Female","Autism Spectrum Disorders",1e-04,2014
"National","National",NA,"<65","Sex","Female","Autism Spectrum Disorders",0.0048,2014
"National","National",NA,"All","Sex","Female","Autism Spectrum Disorders",8e-04,2014
"National","National",NA,"65+","Sex","Male","Autism Spectrum Disorders",2e-04,2014
"National","National",NA,"<65","Sex","Male","Autism Spectrum Disorders",0.0127,2014
"National","National",NA,"All","Sex","Male","Autism Spectrum Disorders",0.0028,2014
"National","National",NA,"65+","Sex","Female","Autism Spectrum Disorders",1e-04,2015
"National","National",NA,"<65","Sex","Female","Autism Spectrum Disorders",0.0055,2015
"National","National",NA,"All","Sex","Female","Autism Spectrum Disorders",9e-04,2015
"National","National",NA,"65+","Sex","Male","Autism Spectrum Disorders",3e-04,2015
"National","National",NA,"<65","Sex","Male","Autism Spectrum Disorders",0.0147,2015
"National","National",NA,"All","Sex","Male","Autism Spectrum Disorders",0.0031,2015
"National","National",NA,"65+","Sex","Female","Autism Spectrum Disorders",1e-04,2016
"National","National",NA,"<65","Sex","Female","Autism Spectrum Disorders",0.0064,2016
"National","National",NA,"All","Sex","Female","Autism Spectrum Disorders",0.001,2016
"National","National",NA,"65+","Sex","Male","Autism Spectrum Disorders",3e-04,2016
"National","National",NA,"<65","Sex","Male","Autism Spectrum Disorders",0.0171,2016
"National","National",NA,"All","Sex","Male","Autism Spectrum Disorders",0.0035,2016
"National","National",NA,"65+","Sex","Female","Autism Spectrum Disorders",1e-04,2017
"National","National",NA,"<65","Sex","Female","Autism Spectrum Disorders",0.0073,2017
"National","National",NA,"All","Sex","Female","Autism Spectrum Disorders",0.0011,2017
"National","National",NA,"65+","Sex","Male","Autism Spectrum Disorders",4e-04,2017
"National","National",NA,"<65","Sex","Male","Autism Spectrum Disorders",0.0194,2017
"National","National",NA,"All","Sex","Male","Autism Spectrum Disorders",0.0038,2017
"National","National",NA,"65+","Sex","Female","Autism Spectrum Disorders",2e-04,2018
"National","National",NA,"<65","Sex","Female","Autism Spectrum Disorders",0.0084,2018
"National","National",NA,"All","Sex","Female","Autism Spectrum Disorders",0.0013,2018
"National","National",NA,"65+","Sex","Male","Autism Spectrum Disorders",4e-04,2018
"National","National",NA,"<65","Sex","Male","Autism Spectrum Disorders",0.0223,2018
"National","National",NA,"All","Sex","Male","Autism Spectrum Disorders",0.0042,2018
