"County_State","Estimated_Population","Estimated_65to74","Estimated_75to84","Estimated_85orOlder","fips","olderAdultSum"
"Autauga County, Alabama",55200,4711,2524,815,"01001",8050
"Baldwin County, Alabama",208107,24551,12165,3949,"01003",40665
"Barbour County, Alabama",25782,2820,1392,422,"01005",4634
"Bibb County, Alabama",22527,2122,1112,427,"01007",3661
"Blount County, Alabama",57645,6132,3235,866,"01009",10233
"Bullock County, Alabama",10352,1011,430,175,"01011",1616
"Butler County, Alabama",20025,2081,1168,557,"01013",3806
"Calhoun County, Alabama",115098,11489,5847,2050,"01015",19386
"Chambers County, Alabama",33826,3775,1932,702,"01017",6409
"Cherokee County, Alabama",25853,3426,1716,479,"01019",5621
"Chilton County, Alabama",43930,4136,2189,602,"01021",6927
"Choctaw County, Alabama",13075,1647,942,295,"01023",2884
"Clarke County, Alabama",24387,2575,1586,465,"01025",4626
"Clay County, Alabama",13378,1544,859,249,"01027",2652
"Cleburne County, Alabama",14938,1618,773,412,"01029",2803
"Coffee County, Alabama",51288,4861,2608,906,"01031",8375
"Colbert County, Alabama",54495,6003,3283,1216,"01033",10502
"Conecuh County, Alabama",12514,1634,761,312,"01035",2707
"Coosa County, Alabama",10855,1350,817,201,"01037",2368
"Covington County, Alabama",37351,4230,2558,862,"01039",7650
"Crenshaw County, Alabama",13865,1535,696,311,"01041",2542
"Cullman County, Alabama",82313,8756,4946,1101,"01043",14803
"Dale County, Alabama",49255,4579,2496,864,"01045",7939
"Dallas County, Alabama",40029,3993,2182,530,"01047",6705
"DeKalb County, Alabama",71200,7047,3533,1039,"01049",11619
"Elmore County, Alabama",81212,7271,3358,1141,"01051",11770
"Escambia County, Alabama",37328,3741,2077,658,"01053",6476
"Etowah County, Alabama",102939,11180,5755,1942,"01055",18877
"Fayette County, Alabama",16585,2014,1010,368,"01057",3392
"Franklin County, Alabama",31542,2957,1578,565,"01059",5100
"Geneva County, Alabama",26491,2989,1724,439,"01061",5152
"Greene County, Alabama",8426,954,560,202,"01063",1716
"Hale County, Alabama",14887,1573,802,342,"01065",2717
"Henry County, Alabama",17124,2246,1008,442,"01067",3696
"Houston County, Alabama",104352,10283,5409,1923,"01069",17615
"Jackson County, Alabama",52094,5948,3027,997,"01071",9972
"Jefferson County, Alabama",659892,57319,29108,12719,"01073",99146
"Lamar County, Alabama",13933,1580,1016,342,"01075",2938
"Lauderdale County, Alabama",92585,10190,5483,2203,"01077",17876
"Lawrence County, Alabama",33171,3589,1669,529,"01079",5787
"Lee County, Alabama",159287,11113,5053,1573,"01081",17739
"Limestone County, Alabama",93052,8319,3977,1427,"01083",13723
"Lowndes County, Alabama",10236,1046,591,191,"01085",1828
"Macon County, Alabama",19054,2155,994,393,"01087",3542
"Madison County, Alabama",357560,29577,16163,5568,"01089",51308
"Marengo County, Alabama",19538,2047,1287,356,"01091",3690
"Marion County, Alabama",29965,3520,2015,684,"01093",6219
"Marshall County, Alabama",95145,9402,5016,1523,"01095",15941
"Mobile County, Alabama",414659,38085,18534,7031,"01097",63650
"Monroe County, Alabama",21512,2343,1136,581,"01099",4060
"Montgomery County, Alabama",226941,18646,10145,3392,"01101",32183
"Morgan County, Alabama",119122,11631,6030,2204,"01103",19865
"Perry County, Alabama",9486,1050,499,215,"01105",1764
"Pickens County, Alabama",20298,2137,1068,524,"01107",3729
"Pike County, Alabama",33403,2819,1564,503,"01109",4886
"Randolph County, Alabama",22574,2672,1415,425,"01111",4512
"Russell County, Alabama",58213,4652,2376,748,"01113",7776
"St. Clair County, Alabama",87306,8546,4155,1190,"01115",13891
"Shelby County, Alabama",211261,18739,8676,2710,"01117",30125
"Sumter County, Alabama",12985,1184,767,247,"01119",2198
"Talladega County, Alabama",80565,8317,4037,1403,"01121",13757
