Bene_Geo_Lvl,Bene_Geo_Desc,Bene_Geo_Cd,Bene_Age_Lvl,Bene_Demo_Lvl,Bene_Demo_Desc,Bene_Cond,Prvlnc
State,Alabama,01,All,All,All,"Autism Spectrum Disorders",0.0003
State,Alabama,01,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Alabama,01,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Alabama,01,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Alabama,01,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Alabama,01,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Alabama,01,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0012
State,Alabama,01,65+,Sex,Female,"Autism Spectrum Disorders",""
State,Alabama,01,<65,Sex,Female,"Autism Spectrum Disorders",""
State,Alabama,01,All,Sex,Female,"Autism Spectrum Disorders",0.0001
State,Alabama,01,65+,Sex,Male,"Autism Spectrum Disorders",""
State,Alabama,01,<65,Sex,Male,"Autism Spectrum Disorders",""
State,Alabama,01,All,Sex,Male,"Autism Spectrum Disorders",0.0006
State,Alaska,02,All,All,All,"Autism Spectrum Disorders",0.001
State,Alaska,02,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Alaska,02,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Alaska,02,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Alaska,02,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Alaska,02,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Alaska,02,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Alaska,02,65+,Sex,Female,"Autism Spectrum Disorders",""
State,Alaska,02,<65,Sex,Female,"Autism Spectrum Disorders",""
State,Alaska,02,All,Sex,Female,"Autism Spectrum Disorders",0.0006
State,Alaska,02,65+,Sex,Male,"Autism Spectrum Disorders",""
State,Alaska,02,<65,Sex,Male,"Autism Spectrum Disorders",""
State,Alaska,02,All,Sex,Male,"Autism Spectrum Disorders",0.0015
State,Arizona,04,All,All,All,"Autism Spectrum Disorders",0.0004
State,Arizona,04,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Arizona,04,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Arizona,04,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0
State,Arizona,04,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Arizona,04,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Arizona,04,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.003
State,Arizona,04,65+,Sex,Female,"Autism Spectrum Disorders",""
State,Arizona,04,<65,Sex,Female,"Autism Spectrum Disorders",""
State,Arizona,04,All,Sex,Female,"Autism Spectrum Disorders",0.0002
State,Arizona,04,65+,Sex,Male,"Autism Spectrum Disorders",""
State,Arizona,04,<65,Sex,Male,"Autism Spectrum Disorders",""
State,Arizona,04,All,Sex,Male,"Autism Spectrum Disorders",0.0006
State,Arkansas,05,All,All,All,"Autism Spectrum Disorders",0.0004
State,Arkansas,05,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Arkansas,05,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Arkansas,05,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Arkansas,05,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Arkansas,05,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Arkansas,05,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0015
State,Arkansas,05,65+,Sex,Female,"Autism Spectrum Disorders",""
State,Arkansas,05,<65,Sex,Female,"Autism Spectrum Disorders",""
State,Arkansas,05,All,Sex,Female,"Autism Spectrum Disorders",0.0002
State,Arkansas,05,65+,Sex,Male,"Autism Spectrum Disorders",""
State,Arkansas,05,<65,Sex,Male,"Autism Spectrum Disorders",""
State,Arkansas,05,All,Sex,Male,"Autism Spectrum Disorders",0.0007
State,California,06,All,All,All,"Autism Spectrum Disorders",0.0007
State,California,06,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",0
State,California,06,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0006
State,California,06,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,California,06,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0001
State,California,06,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0052
State,California,06,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0019
State,California,06,65+,Sex,Female,"Autism Spectrum Disorders",0
State,California,06,<65,Sex,Female,"Autism Spectrum Disorders",0.002
State,California,06,All,Sex,Female,"Autism Spectrum Disorders",0.0003
State,California,06,65+,Sex,Male,"Autism Spectrum Disorders",0.0001
State,California,06,<65,Sex,Male,"Autism Spectrum Disorders",0.0049
State,California,06,All,Sex,Male,"Autism Spectrum Disorders",0.0011
State,Colorado,08,All,All,All,"Autism Spectrum Disorders",0.0006
State,Colorado,08,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Colorado,08,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Colorado,08,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Colorado,08,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Colorado,08,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Colorado,08,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0035
State,Colorado,08,65+,Sex,Female,"Autism Spectrum Disorders",""
State,Colorado,08,<65,Sex,Female,"Autism Spectrum Disorders",""
State,Colorado,08,All,Sex,Female,"Autism Spectrum Disorders",0.0003
State,Colorado,08,65+,Sex,Male,"Autism Spectrum Disorders",""
State,Colorado,08,<65,Sex,Male,"Autism Spectrum Disorders",""
State,Colorado,08,All,Sex,Male,"Autism Spectrum Disorders",0.0009
State,Connecticut,09,All,All,All,"Autism Spectrum Disorders",0.0015
State,Connecticut,09,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",0
State,Connecticut,09,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0018
State,Connecticut,09,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0002
State,Connecticut,09,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0005
State,Connecticut,09,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0161
State,Connecticut,09,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0069
State,Connecticut,09,65+,Sex,Female,"Autism Spectrum Disorders",0.0001
State,Connecticut,09,<65,Sex,Female,"Autism Spectrum Disorders",0.0052
State,Connecticut,09,All,Sex,Female,"Autism Spectrum Disorders",0.0007
State,Connecticut,09,65+,Sex,Male,"Autism Spectrum Disorders",0.0001
State,Connecticut,09,<65,Sex,Male,"Autism Spectrum Disorders",0.015
State,Connecticut,09,All,Sex,Male,"Autism Spectrum Disorders",0.0026
State,Delaware,10,All,All,All,"Autism Spectrum Disorders",0.0007
State,Delaware,10,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Delaware,10,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Delaware,10,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Delaware,10,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Delaware,10,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Delaware,10,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Delaware,10,65+,Sex,Female,"Autism Spectrum Disorders",""
State,Delaware,10,<65,Sex,Female,"Autism Spectrum Disorders",""
State,Delaware,10,All,Sex,Female,"Autism Spectrum Disorders",0.0004
State,Delaware,10,65+,Sex,Male,"Autism Spectrum Disorders",""
State,Delaware,10,<65,Sex,Male,"Autism Spectrum Disorders",""
State,Delaware,10,All,Sex,Male,"Autism Spectrum Disorders",0.0011
State,"District of Columbia",11,All,All,All,"Autism Spectrum Disorders",0.0006
State,"District of Columbia",11,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,"District of Columbia",11,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,"District of Columbia",11,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0
State,"District of Columbia",11,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,"District of Columbia",11,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,"District of Columbia",11,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.002
